,screen_name,followers,friends,description,tweets
0,jhonmorales28,360,442,Soy del verde soy feliz,166007
1,menemadrid,399,3644,#lolaindigo,58546
2,boukedejongg,51,69,dikke kus,138
3,elizagrad,3,8,I am a naked stone lady frozen in time. But I'm still gonna vote. And then I'm gonna vote some more.,47
4,mirrencity,117,618,U17's coach with BSC Glasgow and retired professional wrestler,5523
5,troostjohn,1210,271,topsportcoaching@gmail.com,7832
6,ArandanosAyete,70,380,"El chaval de siempre, ni más ni menos",6170
7,RMadridLoves,13539,932,"La mejor fuente de informaciòn del Real Madrid en todo twitter en español. Datos, fichajes, curiosidades del club de las 13 Champions #HalaMadridYNadaMas",23153
8,SprtBookReviews,1480,4948,Blogging sports book reviews at https://t.co/hXMTWxID8u. Always looking for recommendations. #amreading Flash Crash by Liam Vaughan,1326
9,LizzieRFreeman,9322,866,"#VoiceActor, cat lady, caffeine addict. ☕
Trish Una #JJBA, Teucer #GenshinImpact, Iwanaga #InSpectre, Chizuru #RentaGirlfriend, Moony/Sad Ena #ENA",10125
10,Hugh_G_Reckshin,19,15,"Please cancel me
Sha/kira",268
11,_DDAXX,77,358,,6589
12,FrankieNr14,174,392,Biertje/Wijntje/Whisky/Gemert 5 /Sparta'25 JO14-1/ Ajax,11200
13,Light_INTER,12,18,"Semplicemente un tifoso dell'INTER.

Do pareri riguardo al Calciomercato e non",859
14,headlinez,178,31,"Headlinez.nl - Het laatste nieuws verzameld op onderwerp, uit meer dan duizend nieuwsbronnen",200276
15,Telamonian_Ajax,557,4814,"J.D., nerd, trans man, crazy cat guy. #BlackLivesMatter",2809
16,xnikita020,542,372,Ajax Amsterdam,57464
17,frizzy_Micheal,163,231,I buy all kind of gift CARD AND BITCOIN AT GOOD RATE .. LET ME BE YOUR PLUG..,298
18,felixirrr,778,1063,miam,38736
19,4AceTechno,117,99,,1186
20,Guaragolpe,685,2606,"|Red 😈 since 1998 was Born my Passión for #Manutd| 🔴⚪
|Vinotinto te Amo, Venezuela 🇻🇪 mi anhelo es verte Libre no más Comunismo, ni Socialismo|",5418
21,EBL2017,6680,183,Part-time tactical analyst with @TheScoutedHub and freelance football writer with @BTLvid.,22126
22,asotesr,28,315,"Fútbol. Presente, pasado y futuro.",456
23,Amtrak,176769,542,Ride with #Amtrak and see where the train can take you. Tweet us! Social Customer Care is available 24/7.,230746
24,gui_vi4nna_,144,649,Eu curto falar umas merda e sobre futebol clubista ao extremo e foda se,7153
25,VP_Transfernews,917,9,Van de sappigste transfergeruchten tot de meest geweldige officiële transfers. Hier vind je alles!,21901
26,henkveen,3400,2567,Welkom in de wereld van de bekende kunstschilder Henk Veen.,96560
27,belgiskfotboll,542,593,Med belgisk fotboll i blodet och Anderlecht i hjärtat. 🇸🇪🇧🇪⚽️ Vid fler frågor: belgiskfotboll@gmail.com,4151
28,SanchezRomeu,129,465,|| You’ll never walk alone ||,57445
29,UitgeverUrsem,2547,484,uitgever | auteur Ajax in Afrika | ex Nieuwe Revu & Quote | leest: Trofee (Schoeters) & De ontdekking van Urk (Declercq),35488
30,FenerCracker,8,72,Fenerbahçe herşeyimiz 💙💛,266
31,srkobayasi,250,235,Jugador de Football Manager de esos que no ganan titulos #FM21 #FootballManager2021,2290
32,VoetbalPrimeur,57150,460,Het officiële account van VoetbalPrimeur. Volg en like ons ook op Instagram en Facebook.,333219
33,ajitosu,122,51,"Materials Consultant, Food Connoisseur, Traveler, Investor",577
34,RokuSupport,8159,51,Official @Roku support helping customers weekdays between 9am-5pm PT. For support anytime: https://t.co/FQCXdMXhAu,26547
35,Alpha_G2,680,462,🇬🇳 l @FCBarcelona l 🇸🇳,95138
36,Ani_b95,146,645,"Cricket, Man United & Foo Fighters are the three basic necessities of life.",6036
37,robbiecoombes1,2728,3946,"🏆 CHAMP19NS 🏆 born a red,live a red & die a red.YNWA. 2 X WINNER OF @irishracing7 & 2 X winner @StateSideSix & @NapsLeague Champ & 1 X @HUR_Five Champ",39437
38,oluwafemi_26,1086,948,God first 🎶🖤 CFC,2904
39,TradeosFrots,71,64,"Fut21 información, predicciones, reviews y mas.
Intento de trader PC",790
40,siphenormous,169,374,photographer. spiderman. backyard portraits. liverpool,7821
41,reithintsje,134,401,I am Interested in all opinions. follows back 💡Can’t we all get back to being reasonable ?,5712
42,ivan_lmonzon,752,900,Gran Canaria-Buenos Aires,25475
43,tim_sithole,1332,1189,"Writer|Researcher|Analyst|Consultant.
Football Twitter:#HalaMadrid #GGMU #OPFC

Check header and reach out for assistance or to collaborate.",32734
44,EindhovenZuid,9,18,,1187
45,Cateryna_78,951,634,"Ho ingoiato così tanti rospi che ora cago principi

REGGINA FOR EVER 😍🇱🇻",65623
46,HappySiso,93,211,La P es muda • Hago mucho ruido y casi nada de gracia,5383
47,jwyxncxbx,268,121,"𝒃𝒊𝒑𝒋 

 | 𝑀𝑒𝑖𝑟𝑡𝘩 , vampire , 𝒔𝒊𝒍𝒗𝒆𝒓 𝒎𝒐𝒐𝒏 ☽ |

| 𝑲𝒍𝒂𝒕𝒆𝒗, 𝐋𝐮𝐬𝐭 , no te puto pilles. Experto en lágrimas. Demonio malo maloso. |",16677
48,_kayouba,487,1296,Selon Parcoursup je suis un « aucun des deux » entre sportif de haut niveau ou artiste confirmé,5892
49,SickofthePundit,1087,1347,"Presenting: Sick Of The Pundits, the podcast. The voice of the armchair experts",4853
50,TSAHope,2160,4137,Community Services 122 Hunt St Ajax Mon-Thur • Sunday Gatherings @ https://t.co/UDEoxFUVUE • Weekly Home Groups & Youth Group via Zoom • Serving Locally Since 1955,7785
51,Mel_Ajax,21,98,ajax,265
52,waneBirane5,564,431,Jogabonito,2246
53,DiegoCostaMorsa,8,177,Ando muy barbaro,270
54,Ajax_SoccerNews,4457,242,"Het laatste nieuws over Ajax. 33x landskampioen, 18x bekerwinnaar, 2x wereldkampioen!",54643
55,JoanFontes,28826,3687,"Ex ràdio Milà, Ràdio Ciutat Vella, Ràdio 9 Barris, Ràdio Pika, Ràdio Contrabanda, Cadena del Watter, Ràdio Palafrugell. Un Currículum que ya quisiera Hermida.",79277
56,velosodiego,158,162,,12658
57,drakkooz_,22,169,gran dato crack pero no te pregunté,4670
58,StensGodson,2758,659,Je suis 🇭🇹 pas 🇨🇩,9535
59,AjaxFanatics,20174,139,Het laatste nieuws over de mooiste club ter wereld!,46883
60,ceva_Parabellum,39,181,,2899
61,Astronaut84,1835,1681,1% chance 99% faith 🛐,1731
62,fejalpau,325,1049,"Amante del futbol. Fanático de la F1. Culé desde el día que nací. Estudiante y entrenador de futbol. Puedo colaborar en artículos deportivos, MD.",46122
63,robbiecoombes1,2728,3946,"🏆 CHAMP19NS 🏆 born a red,live a red & die a red.YNWA. 2 X WINNER OF @irishracing7 & 2 X winner @StateSideSix & @NapsLeague Champ & 1 X @HUR_Five Champ",39437
64,Olfertjan,6884,6294,Tevreden mens. Namen in tweets kunnen nep zijn om slachtoffers te beschermen en gebeurtenissen gedramatiseerd. #ajax #recruiter #amsterdam,80066
65,brilliantbusi,13577,303,I make edits related to Barça. 👨🏻‍💻 ❤️💙,18913
66,Maxim_Ajax_2004,38,232,16 | best wl: 29-1,3018
67,er_gamito,52,266,,5172
68,mr_popoola,610,660,,71445
69,WesleyBruins,139,185,Blauwvinger in Doetinchem. Papa van Mijntje.,1658
70,Freenkie21,809,468,"𝐑𝐞𝐭𝐰𝐢𝐭𝐞𝐨 𝐧𝐨𝐭𝐢𝐜𝐢𝐚𝐬
 Era @primefrenkie21 1857",4550
71,cule18998,69,89,F.C. BARCELONA ❤️💙 Toda la actualidad del equipo 🔥 SOM-HI 💪,670
72,colombiiinnee,264,478,"jeanne. fan de figurines pops

Stranger things la meilleur série ❤️",16364
73,Anonymous_Cat0,7500,8095,"Políticament incorrecte. Llibertari, ateu, independentista i culer. Segurament em trobis prenent el sol a una terrassa.",98444
74,JandroInfante,1349,412,Gerente de Grúas J.Infante y entrenador titulado de fútbol.,15549
75,fseixanta_vuit,1510,1676,"Sóc un ningú, com n'hi ha tants.. Achtung! Separatista radical. No nacionalista, no processista. Jípil.",74100
76,andresgarciatal,486,125,"Te parece ofensivo? pues a mi me parece divertido , por eso soy mas feliz que tu , youtuber y mago del balon en mis ratos libres",640124
77,mjsportsbet,600,300,"Your local bookies since 1963! Keep it Fun. Keep it Safe. Home or Away, Bet Local with Mark Jarvis. Followers must be 18+ https://t.co/0WiNwt5hky",5878
78,RobertoBS95,1995,1798,"Barça💙❤ 🇪🇸..Águilas 💛💙🦅Life without music, would be a mistake🎶👀 ",43573
79,JohnnyBetPicks,551,503,JohnnyBet Betting Tips,1192664
80,Ygnads3_,211,198,Álter ego,1255
81,ggouvs,4241,1868,meu dedo médio é recadin pros falador,19509
82,bepper875,446,1419,#finoallafineforzajuventus #Juventino,18606
83,wc_abreu,346,282,"Não entender sarcasmo é sinal de demência, aponta estudo | Engenharia Eletrônica e de Computação - UFRJ | Signal Processing & ML",56528
84,NoriRobot,12,595,,2942
85,Gustavo_GB21,118,676,Abogado. - The strongest people are not those who show stregnth in front of us but those who win battles we know nothing about.,6977
86,archonxpis,958,1141,"‍ ‍ 





‍ ‍ 






 ‍ ‍
 ‍ ‍",3789
87,InCrizZ_,28,36,The Forknife,1348
88,sandersamallo,487,801,Ice76 | Powerlifting | Hardlopen | Ajax ❌❌❌ | Private Barista voor mijn vrouw | AFAS Software Consultant | Hilversum,4604
89,lildave231,1157,1041,IG:Bigdave231. RIP Kobe 💜💛,66602
90,CguillenG_09,1545,764,"¿Para qué correr?, Si se puede caminar con la seguridad de caer.",15982
91,Kubilayaydinn,754,518,Djing since 12.,13230
92,IrishRail,127761,100,"Online Mon-Fri 07.00-21.00, Sat 08.00-20.00, Sun+public hols 09.00-19.00 updates, service, news. Travel alerts at other times. ✉️customercare@irishrail.ie",145030
93,ThonyAlejandro,4525,371,FC Barcelona⚽️,135772
94,dangerpouya_,152,201,,4352
95,LucsamuelWest,0,31,,47
96,hc_yiota,2881,797,#journalist #PolitisNewspaper • RTs Are Not Endorsements/tweeting personal views | #Cyprus  📧: Yiota.h@politis.com.cy,69317
97,Satwik84373083,32,29,big fan of lord Barto🙃,820
98,amamiiyaz,616,683,#renism,17260
99,arrobakino,15,45,tu me dejaste de querer,131
100,BlauGunner,38,103,"FCB & AFC; ND a veces.
- Cuenta A: @ElMorenoBaila.",2379
101,ChasePorfily,15,88,"Ultra-pretentious asshole. Take naps professionally. No followers on here. Tweeting for tweets sake
#mufc",1151
102,plerratta,915,2546,"Estudiante de historia de la UGR ,soy el amo de mi destino, soy el capitán de mi alma. FC Barcelona-Granada CF Republicano español y andaluz Hizaviejero de cuna",117077
103,Djoko_smash,1163,796,"ICT ,FC Barcelona",16139
104,kel_v_s,93,75,🤷🏻‍♀️,643
105,uly_bah,277,262,生きようとしているただの吸盤 | R6 𝘣𝘳𝘢𝘻𝘪𝘭𝘪𝘢𝘯 𝘱𝘭𝘢𝘺𝘦𝘳 | 𝟣𝟫𝓎 | @dayzutwo ♡ | @talknialler ♡ | @Pablocalgs ♧ | @Cldbieel ◇ | @lilmarxth_ ♤,7714
106,marticoves,698,1642,Estudiant. Bàsquet i futbol. 📰 ✍️ @ultimquart @LUFCesp,19696
107,CrapanzanoRobin,545,1134,Volgt nieuws over Ajax,260464
108,Ajax_SoccerNews,4457,242,"Het laatste nieuws over Ajax. 33x landskampioen, 18x bekerwinnaar, 2x wereldkampioen!",54643
109,JulianoRamos94,163,513,"🇵🇹 @realmadrid 🇵🇹 J’ai rdv avec la NASA, pour mesurer la taille de mes couilles.",8136
110,nadouce_r,403,215,ES🐥 Insta : Nadouce_r,25460
111,SaF7910,434,167,,21140
112,Juniemunie24,109,383,"18+, I love cartoony characters!
Got a Tumblr with the same name check it out (i follow some nsfw/18+ art blogs and like them, pls follow with caution!)",16310
113,Odemaitre,261,150,"@RealMadrid || 𝕷𝖊 Ø 𝖓'𝖊𝖘𝖙 𝖕𝖔𝖚𝖗 𝖑'𝖎𝖓𝖘𝖙𝖆𝖓𝖙 𝖖𝖚'𝖚𝖓𝖊 𝖑𝖊𝖙𝖙𝖗𝖊 𝖒𝖆𝖎𝖘 𝖎𝖑 𝖘𝖊𝖗𝖆 𝖇𝖎𝖊𝖓𝖙ô𝖙 𝖑é𝖌𝖊𝖓𝖉𝖆𝖎𝖗𝖊 ||
#HalaMadrid",288
114,cedricahenkora,3315,2064,,51495
115,NobodyKnows710,147,258,Natus Vincere.,7191
116,kathmartinp,1691,464,Aquí se habla de fútbol.,27319
117,1x_bit,2316,1096,"A truly multi-language online bitcoin sportsbook and casino, showcasing industry leading sportsbook and casino software to the gaming players of the world.",3710
118,annispino,0,19,Solamente una cosa è importante nella vita: #interisnotforeveryone,95
119,GGSportsYT,234,226,"🚨 Canal de YouTube ""Los Galácticos"" 🚨 Opinión sobre el FC Barcelona y el deporte. Mi 💖 también es del Athletic y de los Chicago Bulls. ⚽ + 🏀 + 🚴‍♂️",2850
120,Snk361,281,5002,,23660
121,JwagZakelijk,5,110,,39
122,Interpinus71,121,817,"Finance, Ajax",4925
123,r_4_x_4,38,35,moderuje na reddicie: r/Konfa i r/PolskaPolityka,825
124,Dennis12772584,0,0,,760
125,_OscarAstorga,273,221,📖 Comunicación Audiovisual.,761
126,VrRetweeter,255,0,"I'm here to spread awareness of VR! I automatically retweet #VR content.

Warning: NSFW content not intended but possible as Auto-Retweet.

Built by @NookSite",14153
127,Ahmet88737749,0,148,,32
128,RikiSe94,78,198,amante del deporte.,4871
129,CSiwD3,16,880,,1495
130,bto_moravela,130,513,"Trato de vivir lo mejor posible, azulcrema, cule, red YNWA hasta la muerte!!!!",4492
131,NadegeMonnier,200,4717,,15020
132,flydudedipsy,1878,1627,"Twist. 
Art & Design enthusiast.
ai design 👉🏼👈🏼.
Cruise.
LFC🔴🏆.",5989
133,Alex_RC7,277,347,Ingeniero industrial. Fasista y culé. Nunca dejes de creer,35201
134,PieroSnchezGar1,58,77,SOY DEL ARSENAL DE SARANDÍ HASTA QUE ARTETA SE DIGNE A JUGAR  BIEN,4603
135,sofianeelh29,442,1263,on est la/🇲🇦/tu connaaaaaaais,21607
136,ErickGamez94,186,325,,2905
137,upthetoffeesfc,94,237,"Finished above Banterpool😂 (2004-05, 11-12, 12-13) • ‘95 FA Cup Winners • Biggest club in Merseyside • BREXIT MEANS BREXIT • Divorced😕 • ROT IN HELL OLIVIA🤬",1871
138,yaiderenko,15,48,"Ajax ❌❌❌ Cruijff 🐐 Messi ⚽️ ""Er is maar één bal en die moet je dus hebben”",1046
139,virtualstinginc,13,14,"Make you happier
visit our stores in Vaughan Mills, Oshawa Centre, and Richmond Center to experience.",60
140,hqbiis,318,538,multifandom,6143
141,025_Ajax,333,1536,"Green Infrastructure, Disasters, and Climate Change. Saelish Cascadia, Western Hemlock Zone. All my opinions are my own. He/Him. I work for plants.",49922
142,MateBoveda,769,716,"Hincha de Independiente. Messista, Alonsista, del Diego y de Roger. CM de @F1ARG3. 1960 - ∞",64886
143,CavaMinga_RM,1110,1432,"Apoyo incondicional a mis 11 siempre. Madridismo, 1902.   #SiguemeYTeSigo",4818
144,Reynell_Stiv,1189,614,"Electro Music 🎶 //
Cule 💙❤️ & Borusse 💛🖤 //
X'O 👑 //
Nicaragüense por gracia de Dios 🇳🇮",9736
145,SsendijjaG,3283,1822,"#EffortIsNonNegotiable . 
 cofounder- @DugGamalt
CBV @justice_centres
If it's about #HRmanagement I can help. compassionate at all times .",57812
146,hamdisan4,2,21,"le monde chico, et tout ce qu'il y a dedans",772
147,MikeRon07666749,7,391,Am ambitious...i dont go down easily..i have no limitations ..determination..hardwork..sacrifice are the key to success and most of all i put God first 💪💪👊,40
148,archkachmar,5,39,🇱🇧🇨🇦 • Architect • FC Barcelona,28
149,mirrencity,117,618,U17's coach with BSC Glasgow and retired professional wrestler,5523
150,Pendergast76,111,283,"De paella en paella. Friki universal. Me apasionan el cine, los videojuegos, los juegos de mesa y los de rol. Soy el que enseña los juegos y luego pierde.",8713
151,Ghiles_Dtr,2221,2260,"""Choisis autre chose qui n'se rencontre pas Je suis un kabyle, je viens des montagnes""",17149
152,StatBoy_Steven,5371,1242,"Rangers fan living in Europe, CBA enthusiast and Altrunite ambassador: https://t.co/eMLrAeqdje #NYR",23940
153,Remco_TP,879,682,"Admin of https://t.co/vkjtCVyKSP and a big fan of AFC Ajax, Dexter, Trance in general and @MennodeJong & @DJMeganFair in particular. https://t.co/xfuFNxBXeh",64638
154,LordbzzB,5474,553,Golpista y calvisimo.,8303
155,NoguerolAlonso,61,156,"cule  de nacimiento ,fan de messi ,currante y apasionado de las  motos ,nuevo en twitter  haber que  tal heheheh",6670
156,chiliyskiy,132,131,"Verde en el desierto, sal en el bosque
я из Центральный спортивный клуб армии",6055
157,FATR2001,52,92,A.T 🇬🇹FCB💜❤👌👌,1123
158,ohagi_azuki_4u,281,754,"堂本光一さんの人間性、考え方、所作等全て尊敬しています❤
光一さんを崇拝し常に全身全霊で挑む
純粋無垢な岸優太くん💜が大好きないい大人です😍
光一さんが愛してやまないふぉ～ゆ～も応援しています！
SHOCKカンパニーも大好き💃
大好きな人、想いが同じ様な方と
繋がれたら嬉しいです💕",10702
159,maat_1979,434,1250,Tweets are my own and should never be taken seriously. PSV | Ondernemer | Allergisch voor hypocritici van zowel extreem links / extreem rechts,9920
160,Max_Lifts,61,249,"Strength Sports, Coffee",1684
161,_Claudinnn7,332,291,"18y //
021 🏖",3273
162,sollita17,459,1537,"Combarrés. Amante de Atletismo.
Graduado de CAFYD. 
Graduado Educación Primaria
Atleta y Entrenador Nacional RFEA 
Máster Educación Secundaria E.F",5915
163,voltairearouett,68,90,ünlü trabzonspor düşünürü,36
164,jaume_moli,46,211,"Ja no podem canviar el món, però almenys intentarem matissar-lo",1013
165,Juancl09,2869,1699,@NBA @yasjcb 💍 @flamengo,138218
166,NoirRBR,107,88,Free Speech & Small Business are endangered species. So support both.,5669
167,frankmostert,11,297,Wants a quick news update from twitter. Geen carrière.,222
168,DykNonso,392,389,"🎯1 Peter 3:15-16 Christian Apologetic ,  unapologetically Christian
🎯Lover of good Music 🎧🎹🎼. 
🎯 Messi is the GOAT",1203
169,b1biax,536,819,beyoncé || @cearasc & @AFCAjax,26469
170,JohnnyBetPicks,551,503,JohnnyBet Betting Tips,1192664
171,hartaglia,460,253,#childe: you truly bore me... let’s see how you feel when you bleed • she / they,9822
172,cristoo_17,24,134,Me gusta pràcticamente todo 😈🤣🤣😜,10420
173,Ziadd_22,78,83,@EnMaroc • 🇲🇦 • @PNLMusic,132
174,JohnnyBetPicks,551,503,JohnnyBet Betting Tips,1192664
175,guixlima,222,131,"otaku, directioner, pagodeiro, flamenguista, gamer, humorista e o último romântico vivo",17036
176,Alvaro_Romeo,4411,861,13 years in the sports jungle. Editor/Broadcaster at @talksport Also @TheTotallyShow @DAZN_ES @BBCWSSport @bbcsportsworld @FOXSportsAsia,10233
177,carlosms1568,2433,710,Amante de la gastronomia y buenos caldos...Y como equipos... del Barca y de los hermanos Roca...Ah..y 'Alijista'..!!,27175
178,ploufaqui,39,1821,,4681
179,marianotrangoni,166,396,....,13059
180,LesetediTshepan,750,362,Tom Hardy Stan Account 🖤 We don't tolerate Batman Slander here ☻Its a Jose Mourinho Season,28854
181,maumou72,606,592,"Interista e rockettaro sfegatato.
#teambastoni",35506
182,MartinoPuccio,1108,920,"Sports Broadcaster         
Host & Producer @stateofplaypod 
*Tweets Are My Own* 
Puccio8695@gmail.com",42836
183,frogstreet_,77,266,la noche fría se perdió en otra mañana,1071
184,Frenkie21FCB,3859,756,"Por el Barça y por Cruyff, Culé 💯% (Fan Account)",13907
185,LiyuePirate,215,234,"Don't let moments pass along and waste before your eyes
➽───────────────❥
#genshinrp #genshinoc #mvrp UID 603158962",1329
186,Daniel3193,144,369,"27 Humor insolente, Sarcastico, Deportista Nato...",5756
187,_SuaArtezza,384,335,Gentleman. Import&Export broker. Odio i refus.,8437
188,JLuijendijk,11,93,❌❌❌,538
189,coder_487,533,0,A bot helping coders and designers by showcasing their creation and progress.,78134
190,coder_487,533,0,A bot helping coders and designers by showcasing their creation and progress.,78134
191,jaysesyr,40,164,•Messi🐐 •Barca fan,7049
192,Mowglie92,369,294,PVRIS 📍📍| IG: laaaw92,23237
193,dux_hugz,32,138,"ㄨㄨᏆᏆᏆ°

ONLY WORK CAN SAVE US

#StayFocus",295
194,kelvinkwasi_,138,219,"creative.
Psalm91",5517
195,sam_planting,4149,295,Het Parool |  de Volkskrant | @Voetbalpodcast | Hard Gras | Voorheen: VI PRO.,12068
196,PatronsPicks,7,31,Mortal Locks | Current Record: 5-5,11
197,Ouais_narvalo,233,276,Méfie toi.,82178
198,EmanuelSar,348,333,,35592
199,XavistaFCB,99,102,"Barcelonista since 2005 • Take the ball, pass the ball • Leo Messi #Culer",3411
200,sportandpolitik,9,34,"European football, mainly Ajax, with the odd foray into politics",312
201,Andres_ACMILAN,383,1035,,45631
202,Guyver1_,110,68,"3rd Line Wintel\Exchange Engineer & PowerShell Scripter/Automator (also some linux).
Time Trialist",5897
203,IlFuRyuzaki,475,495,~ Vi Veri Veniversum Vivus Vici ~,19856
204,EuropaCalcio,2048,2091,"Profilo ufficiale del giornale di calcio europeo https://t.co/Kyftus28PE  News sempre aggiornate sul mondo del calcio
Direttore Cristiano Abbruzzese",50658
205,daniel_latre,22,178,,1205
206,elsoldelomas,3577,2245,"En Tlalpan, el Sol sale en Lomas. Somos un órgano de penetración...informativa y de denuncia de y para nuestros vecinos tlalpenses.Gracias por seguirnos",32538
207,CR710424380,107,468,futur ballon d’or en espérant que les choses se passe en departure du bled #firmino @LFC @officialasroma,10384
208,HarryHSolo,796,0,Programming.,169436
209,hamletbatista,8497,1484,"CEO @RankSense - I’m perpetually tired of “6 months to see results” SEO BS. I ❤️ #Python 🐍🔥 & #AgileSEO 🏃💨 I share ideas on SEO, ecom, Python, JS and AI/ML",13818
210,adrian_mediano,46,251,"18 años! 
Real Betis⚽🏅💚
Alcalá de Guadaira
CVG😍🏐",984
211,tuasesorfantasy,2177,720,"Experto en Comunio, Futmondo, Biwenger y juegos Fantasy. Asesor independiente.",21259
212,Horwichbloke19,478,962,Living with a pair of birds 🐦,9344
213,CardiffAjaxCC,1738,552,,4888
214,JoanneDies,845,1178,Your Ajax Regional Councillor Ward 3,3744
215,scibrunoo,1572,1378,@SCInternacional | @neymarjr | @amaiscedinho ♡,34087
216,nana_figa,3327,764,what’s hannenin?,69743
217,hizar77,148,104,Stage Manager,2890
218,sowmyasofia,1556,2671,"Ho una forte tendenza a vedere con ottimismo tutto, anche le cose che non lo sono ( Montalcini) Blogger curiosa. Dal 2009 editore e Direttore editoriale di",94059
219,Mongezi_Weza,1200,1010,"Without sounding rude, I owe no one an explanation about my tweets.",95506
220,JoanneDies,845,1178,Your Ajax Regional Councillor Ward 3,3744
221,lucasss2209,264,436,lucha por tus sueños⚽💪 Peñarol 1891💛⚫ y Aguada 1922 💚❤ Jugador de central español,20090
222,Daniel_AJAX_FCB,7,12,,198
223,CelleCrystyne,890,504,Traga a paz que eu planto e rego. 4/10⚖️,50047
224,fischer15_,146,400,"i'll be missing you 2️⃣4️⃣
wakanda forever 🖤
@vascodagama @raptors",9981
225,eusouobreno,182,418,sofrendo pelo santos desde 2002 e pelo liverpool desde 2014,12412
226,Jota_ibz,103,541,😏,1438
227,ManuSimon00,722,1668,"2000. Hincha de Ferro. En @JuezDeLinea_ (Instagram), y ahora también con Doble Doble Podcast.",558
228,Vinllipe11,786,3125,"🧤🧠📊 Matemática - UnB
♉ Taurino
20 years
Santa City
061


Talvez eu não saiba explicar, se eu nasci Flamengo ou se o Flamengo nasceu em mim. ❤",53746
229,HubertDeMeulder,15706,16125,"Vroeger journalist Gazet van Antwerpen.
Al het nieuws boeit me, vooral voetbal, media, politiek, regio's. Follow me and I follow you!",537610
230,FameObinell,181,396,Bachelor's degree in theology. Owner of the company Himation Clothes. Have a big heart for the Camp Nou football,28808
231,Retro_Ajax,319,401,"|Retro Ajax Gaming|

YouTube Channel - https://t.co/rsdcmLdGWT
||Variety Twitch Streamer || Retro enthusiast || FGC 🕹️|| 
#RetroWednesdays 
#BrolicFitness101©",14119
232,Olivierjohnjoh1,40,816,🏈🏀,3525
233,JoanneDies,845,1178,Your Ajax Regional Councillor Ward 3,3744
234,Amath_78,305,241,"❤
#teamOL🦁
#Culers",18389
235,pattedefox,53,3418,"J'aime la nature, les animaux, la musique, la lecture, les séries et le ciné. Je fais des concours pour découvrir les nouveautés et faire plaisir à mes proches",11264
236,lemsoLm,25,124,,1734
237,AFCAjaxBrasil,5880,649,Fique por dentro de tudo que rola com o nosso Ajax!,28970
238,Retro_Ajax,319,401,"|Retro Ajax Gaming|

YouTube Channel - https://t.co/rsdcmLdGWT
||Variety Twitch Streamer || Retro enthusiast || FGC 🕹️|| 
#RetroWednesdays 
#BrolicFitness101©",14119
239,Thom_l_as,122,194,Ancien accidenteur professionel de Clio. J'veux que mes troubadours trouvent l'amour. Toujours (presque?) heureux quand les Detroit Pistons jouent,4363
240,cule_madriz,64,274,"Con 5 añitos mi primo me hizo del Barça, ahora él es socio del Real Madrid. Cruyffista acérrimo. Corto y al pié.",264
241,007Adriii,19,144,@Fcbarcelona ⚠️🔥,1299
242,emirvick,267,171,C.A.B.j,7897
243,mattexotica,570,644,🦉x FBG #COYS| Twitter isn’t real life| Professional Instigator,19611
244,callumschicken,718,998,"ᴄᴀʟʟᴜᴍ ɪʟᴏᴛᴛ's mario kart goes vroom vroom 🏎️ 

#MARCUS : ✨i prefer to just exist✨
/ Dominic thiem 🎾 /
BVB 🖤💛 /



She/her",8642
245,VicenteOrtizBla,1524,359,Periodista.,39351
246,ccdo89,192,276,"l Linkin Park l Borussia Dortmund l Fnatic CS:GO l
#fuckdepression #makechesterproud",12774
247,GratefulDaedal1,279,629,"Homo anthropocenensis, Black belts in Physiology and Medicine, Dog whisperer, American",7327
248,onesidedswedge,941,987,amateur disturber of the peace | a Spaniard in the works (en/es) | LFC 🏆 | Bobby Firmino propagandist (they/them),150182
249,nozomi_nagaiwa,33,247,"Running/Gardening/Cosme/Cooking          　　　　　　　　　　　　　　　                                       　👑King & Prince 
Tiara💘MIE　　　",36733
250,b1biax,536,819,beyoncé || @cearasc & @AFCAjax,26469
251,AliceRwi250,667,405,"Trap ish Irimo Gukora Umuti 💯

Umushirabwoba",2060
252,MikeVerweij,64570,1547,Sportverslaggever @telesport @telegraaf Schrijft over voetbal: #Ajax en #Oranje tips: mverweij@telegraaf.nl,17762
253,Maxim_Ajax_2004,38,232,16 | best wl: 29-1,3018
254,MounirYagami,43,553,"Bvb lover 

22 years old 

University student",1335
255,Richard80381707,70,149,,990
256,Ajax_Levi,46,177,,110
257,DeMegaToby,139,202,"Leef. Maak. Deel.
Ziet twitter als een komisch schouwspel.",92
258,PapiMento_Ajax,274,432,"weTalk member🎙️, Ajax and Arsenal aficionado, NBA2K is my sin. Watch me share my thoughts about Ajax on YouTube. More info @ajax_talk",1524
259,Ritavdh,7,16,,624
260,sjarnvig,454,739,"I work to realise this Madison quote:
.. a people who mean to be their own governors must arm themselves with the power which knowledge gives.",2619
261,_priimoo,403,686,S.A.W.D/🇨🇴🇺🇸,4030
262,TaghloulouNL,187,113,Verified Fifa Player - Free agent - 17 years old🙎🏻‍♂️,2430
263,FoCuSsYT,6598,60,FIFA Youtuber met 35k+ abonnees. Zakelijk contact: focuss.contact@gmail.com,17503
264,aaantonio15,254,467,"Cádiz🌴
Real Madrid 💙🤍⚽
Historia que tú hiciste historia por hacer
17",9438
265,henderson_louis,356,305,✊🏿,16413
266,Rudy14070785,3,76,,273
267,suuusshhh,11,183,corner taken Quickly,432
